아마, 76, 154
마라, 66, 140
자나, 69, 151
다라, 48, 147
아사, 67, 171
가차, 76, 167
타파, 88, 174
타마, 89, 182
다카, 41, 149
가사, 82, 181
다바, 49, 159
자바, 58, 198
바아, 68, 164
카파, 71, 172
마하, 93, 197
라라, 79, 151
차가, 79, 164
파차, 61, 160
라바, 48, 194
하아, 56, 154
카자, 58, 152
차가, 48, 189
타가, 47, 147
마라, 58, 197
카차, 54, 148
카카, 92, 177
라마, 93, 198
나아, 90, 165
사가, 72, 147
자사, 51, 185
타차, 96, 152
바아, 84, 166
하자, 78, 197
사라, 59, 199
사마, 47, 161
파라, 96, 149
자하, 66, 159
바타, 93, 160
차카, 95, 151
나다, 95, 167
파아, 74, 154
아가, 65, 184
라라, 70, 169
라타, 77, 173
라아, 63, 161
하가, 50, 173
다나, 45, 155
아라, 57, 190
다바, 62, 144
자차, 67, 196
차다, 95, 180
나아, 77, 164
차타, 97, 148
라하, 63, 170
바다, 98, 166
하차, 53, 169
파라, 97, 180
사타, 65, 172
가가, 98, 182
하차, 98, 141
가바, 54, 152
차타, 98, 186
아바, 48, 189
가마, 81, 144
바사, 42, 165
다가, 42, 152
파자, 64, 179
파자, 94, 172
바파, 48, 158
다가, 65, 144
파사, 98, 181
나자, 81, 170
마하, 76, 147
파라, 61, 183
타파, 68, 145
사가, 64, 180
가아, 60, 176
다라, 96, 144
다파, 92, 174
타카, 76, 199
다파, 95, 177
가하, 75, 197
다차, 75, 190
다바, 69, 181
자카, 83, 153
타카, 58, 160
아마, 84, 181
나라, 89, 175
다나, 90, 170
라마, 59, 152
아가, 79, 193
타아, 57, 166
아바, 55, 144
파타, 75, 190
라바, 40, 140
파차, 48, 165
라다, 49, 144
자바, 95, 154
하바, 84, 174
라타, 44, 176
파하, 79, 170
파라, 59, 146
사가, 66, 155
나라, 88, 156
차다, 52, 142
마자, 86, 197
사자, 94, 167
가라, 96, 170
가아, 68, 194
나아, 99, 193
하가, 57, 173
타자, 94, 197
카사, 95, 170
사카, 99, 157
카자, 49, 194
자하, 58, 148
자가, 55, 153
라다, 49, 175
타차, 76, 197
사다, 96, 184
다가, 76, 195
하차, 96, 192
자카, 44, 167
카사, 42, 188
나라, 90, 193
아자, 75, 178
아차, 97, 187
사가, 52, 184
바다, 62, 194
마타, 84, 171
마다, 69, 160
카마, 60, 184
사카, 67, 148
나나, 88, 170
가마, 99, 169
사사, 98, 196
사사, 80, 196
카바, 76, 196
바다, 43, 166
가하, 53, 152
카가, 90, 157
사하, 94, 157
다가, 95, 189
가타, 74, 152
하나, 92, 168
가다, 90, 148
바사, 71, 189
다아, 42, 160
바나, 61, 172
마타, 69, 199
파타, 46, 143
카타, 75, 195
다나, 53, 182
사차, 56, 148
타타, 49, 178
가타, 76, 192
차다, 58, 181
라바, 60, 149
사타, 45, 168
나바, 85, 175
파가, 73, 157
사파, 74, 141
가하, 63, 186
아아, 99, 183
하바, 63, 197
타파, 67, 148
마파, 80, 144
차카, 41, 155
자라, 58, 190
파사, 66, 180
아사, 68, 155
사나, 87, 180
가카, 59, 170
나아, 81, 159
파마, 57, 174
차차, 40, 159
바아, 50, 140
하아, 42, 187
마파, 51, 190
나나, 81, 154
마다, 88, 191
카가, 81, 146
마카, 95, 170
아파, 74, 199
타나, 44, 151
마파, 90, 160
카다, 65, 154
라라, 68, 180
다사, 72, 184
자바, 93, 196
타파, 70, 183
마하, 98, 189
라파, 68, 151
마바, 45, 147
나파, 41, 167
차하, 73, 198
아하, 60, 162
다사, 47, 168
아타, 93, 180
바카, 58, 144
나사, 75, 184
차카, 44, 153
마가, 54, 144
차파, 46, 151
파파, 51, 172
차자, 40, 148
마카, 83, 170
카마, 70, 198
가마, 69, 157
아자, 69, 145
마아, 87, 144
파카, 93, 171
하파, 77, 154
나하, 56, 140
마차, 76, 189
타나, 42, 161
사파, 78, 160
타사, 84, 160
차하, 86, 167
자하, 69, 194
차마, 93, 168
사사, 47, 147
아사, 40, 150
파차, 66, 165
카파, 98, 169
마하, 40, 175
가차, 98, 196
가차, 89, 144
하아, 70, 176
파사, 87, 143
바가, 89, 140
타아, 68, 149
차사, 99, 158
카사, 81, 155
다라, 78, 143
카바, 44, 189
파카, 57, 196
나하, 68, 156
사다, 83, 190
라사, 46, 146
하마, 84, 153
타타, 63, 146
마나, 45, 185
카바, 68, 197
라사, 93, 185
다마, 58, 193
